Banner Name,5-Star Character,4-Star Characters,Banner Dates
Gentry of Hermitage,Zhongli,"Freminet, Noelle, Sayu","5th September, 2023 to 26th September, 2023"
Farewell of Snezhnaya,Tartaglia (Childe),"Freminet, Noelle, Sayu","5th September, 2023 to 26th September, 2023"
Decree of the Deeps,Neuvillette,"Diona, Fishl, Xingqiu","27th September, 2023 to 17th October, 2023"
Moment of Bloom,Hu Tao,"Diona, Fishl, Xingqiu","27th September, 2023 to 17th October, 2023"
Tempestuous Destiny,Wriothesley,"Chongyun, Dori, Thoma","17th October, 2023 to 7th November, 2023"
Ballad in Goblets,Venti,"Chongyun, Dori, Thoma","17th October, 2023 to 7th November, 2023"
Chanson of Many Waters,Furina,"Beidou, Charlotte, Collei","8th November, 2023 to 28th November, 2023"
Immaculate Pulse,Baizhu,"Beidou, Charlotte, Collei","8th November, 2023 to 28th November, 2023"
Twilight Arbiter,Cyno,"Kuki Shinobu, Kirara, Xiangling","28th November, 2023 to 19th December, 2023"
Azure Excursion,Ayato,"Kuki Shinobu, Kirara, Xiangling","28th November, 2023 to 19th December, 2023"
In the Name of the Rosula,Navia,"Sucrose, Candace, Rosaria","20th December, 2023 to 9th January 2023"
The Heron's Court,Ayaka,"Sucrose, Candace, Rosaria","20th December, 2023 to 9th January, 2024"
Reign of Serenity,Raiden Shogun,"Chevreuse, Kujou Sara, Bennett","9th January, 2024 to 30th January, 2024"
Tapestry of Golden Flames,Yoimiya,"Chevreuse, Kujou Sara, Bennett","9th January, 2024 to 30th January, 2024"
The Crane Soars Skyward,Xianyun,"Gaming, Faruzan, Noelle","31st January, 2024 to 20th February"
The Moongrass' Enlightenment,Nahida,"Gaming, Faruzan, Noelle","31st January, 2024 to 20th February, 2024"
Invitation to Mundane Life,Xiao,"Ningguang, Xinyan, Yaoyao","20th February, 2024 to 12th March, 2024"
Everbloom Violet,Yae Miko,"Ningguang, Xinyan, Yaoyao","20th February, 2024 to 12th March, 2024"
Of Silken Clouds Woven,Chiori,"Dori, Gorou, Yun Jin","13th March, 2024 to 2nd April, 2024"
Oni's Royale,Arataki Itto,"Dori, Gorou, Yun Jin","13th March, 2024 to 2nd April, 2024"
Decree of the Deeps,Neuvillette,"Barbara, Yanfei, Xingqiu","2nd April, 2024 to 23rd April, 2024"
Leaves in the Wind,Kazuha,"Barbara, Yanfei, Xingqiu","2nd April, 2024 to 23rd April, 2024"
The Hearth's Ashen Shadow,Arlecchino,"Xiangling, Freminet, Lynette","24th April, 2024 to 14th May, 2024"
Conjuring Chiaroscuro,Lyney,"Xiangling, Freminet, Lynette","24th April, 2024 to 14th May, 2024"
From Ashes Reborn,Wanderer (Scaramouche),"Beidou, Faruzan, Layla","14th May, 2024 to 4th June, 2024"
Immaculate Pulse,Baizhu,"Beidou, Faruzan, Layla","14th May, 2024 to 4th June, 2024"
Illuminating Lightning,Clorinde,"Sethos, Bennett, and Thoma","5th June, 2024 to 25th June, 2024"
Caution in Confidence,Alhaitham,"Sethos, Bennett, and Thoma","5th June, 2024 to 25th June, 2024"
Romaritime Meluserenity,Sigewinne,"Rosalina, Noelle, Gaming","25th June, 2024 to 16th July"
Chanson of Many Waters,Furina,"Rosalina, Noelle, Gaming","25th June, 2024 to 16th July"
In the Name of the Rosula,Navia,"Kaveh, Kirara, Ningguang","17th July, 2024 to 6th August, 2024"
Twirling Lotus,Nilou,"Kaveh, Kirara, Ningguang","17th July, 2024 to 6th August, 2024"
Ambrosial Essence,Emilie,"Razor, Xiangling, Yanfei","6th August, 2024 to 27th August, 2024"
Discerner of Enigmas,Yelan,"Razor, Xiangling, Yanfei","6th August, 2024 to 27th August, 2024"
Sharktacular Surfari,Mualani,"Bennett, Kachina, Xinyan","28th August, 2024 to 17th September, 2024"
Leaves in the Wind,Kazuha,"Bennett, Kachina, Xinyan","28th August, 2024 to 17th September, 2024"
Seeker of Flame-Wrought Secrets,Kinich,"Chevreuse, Kujou Sara, Thoma","17th September, 2024 to 8th October, 2024"
Reign of Serenity,Raiden Shogun,"Chevreuse, Kujou Sara, Thoma","17th September, 2024 to 8th October, 2024"
Forgefire's Blessing,Xilonen,"Dori, Candace, Collei","9th October, 2024 to 29th October, 2024"
Of Silken Clouds Woven,Chiori,"Dori, Candace, Collei","9th October, 2024 to 29th October, 2024"
The Moongrass' Enlightenment,Nahida,"Kuki Shinobu, Sethos, Xingqiu","29th October, 2024 to 19th November, 2024"
Moment of Bloom,Hu Tao,"Kuki Shinobu, Sethos, Xingqiu","29th October, 2024 to 19th November, 2024"
Piercing Shot's Crimson Wake,Chasca,"Barbara, Ororon, Sucrose","20th November, 2024 to 10th December, 2024"
Conjuring Chiaroscuro,Lyney,"Barbara, Ororon, Sucrose","20th November, 2024 to 10th December, 2024"
Decree of the Deeps,Neuvillette,"Yaoyao, Fischl, Heizou","10th December, 2024 to 31st December, 2024"
Gentry of Hermitage,Zhongli,"Yaoyao, Fischl, Heizou","10th December, 2024 to 31st December, 2024"
Ancient Flame Ablaze,Mavuika,"Bennett, Diona, Kachina","1st January, 2025 to 21st January, 2025"
Starry Night's Whispers,Citlali,"Bennett, Diona, Kachina","1st January, 2025 to 21st January, 2025"
Illuminating Lightning,Clorinde,"Chevreuse, Lan Yan, Rosaria","21st January, 2025 to 11th February, 2025"
The Hearth's Ashen Shadow,Arlecchino,"Chevreuse, Lan Yan, Rosaria","21st January, 2025 to 11th February, 2025"
Dawn's Drifting Reverie,Mizuki,"Gorou, Sayu, Xiangling","12th February, 2025 to 4th March, 2025"
Romaritime Meluserenity,Sigewinne,"Gorou, Sayu, Xiangling","12th February, 2025 to 4th March, 2025"
Chanson of Many Waters,Furina,"Charlotte, Chongyun, Mika","4th March, 2025 to 25th March, 2025"
Tempestuous Destiny,Wriothesley,"Charlotte, Chongyun, Mika","4th March, 2025 to 25th March, 2025"
